Pinyin,Zhuyin,IPA
mie,ㄇㄧㄝ,mjɛ
min,ㄇㄧㄣ,min
ming,ㄇㄧㄥ,miŋ
miu,ㄇㄧㄡ,mjoʊ
mo,ㄇㄛ,mwɔ
mou,ㄇㄡ,moʊ
mu,ㄇㄨ,mu
na,ㄋㄚ,na
nai,ㄋㄞ,naɪ
nan,ㄋㄢ,nan
nang,ㄋㄤ,nɑŋ
nao,ㄋㄠ,nɑʊ
ne,ㄋㄜ,nɤ
nei,ㄋㄟ,neɪ
nen,ㄋㄣ,nən
neng,ㄋㄥ,nɤŋ
ni,ㄋㄧ,ni
nia,ㄋㄧㄚ,nja
nian,ㄋㄧㄢ,njɛn
niang,ㄋㄧㄤ,njɑŋ
niao,ㄋㄧㄠ,njɑʊ
nie,ㄋㄧㄝ,njɛ
nin,ㄋㄧㄣ,nin
ning,ㄋㄧㄥ,niŋ
niu,ㄋㄧㄡ,njoʊ
nong,ㄋㄨㄥ,nʊŋ
nou,ㄋㄡ,noʊ
nu,ㄋㄨ,nu
nuan,ㄋㄨㄢ,nwan
nun,ㄋㄨㄣ,nwən
nuo,ㄋㄨㄛ,nwɔ
nü,ㄋㄩ,ny
nüe,ㄋㄩㄝ,nɥœ
o,ㄛ,ɔ
ou,ㄡ,oʊ
pa,ㄆㄚ,pa
pai,ㄆㄞ,paɪ
pan,ㄆㄢ,pan
pang,ㄆㄤ,pɑŋ
pao,ㄆㄠ,pɑʊ
pei,ㄆㄟ,peɪ
pen,ㄆㄣ,pən
peng,ㄆㄥ,pɤŋ
pi,ㄆㄧ,pi
pian,ㄆㄧㄢ,pjɛn
piao,ㄆㄧㄠ,pjɑʊ
pie,ㄆㄧㄝ,pjɛ
pin,ㄆㄧㄣ,pin
ping,ㄆㄧㄥ,piŋ
po,ㄆㄛ,pwɔ
pou,ㄆㄡ,poʊ
pu,ㄆㄨ,pu
qi,ㄑㄧ,tɕi
qia,ㄑㄧㄚ,tɕja
qian,ㄑㄧㄢ,tɕjɛn
qiang,ㄑㄧㄤ,tɕjɑŋ
qiao,ㄑㄧㄠ,tɕjɑʊ
qie,ㄑㄧㄝ,tɕjɛ
qin,ㄑㄧㄣ,tɕin
qing,ㄑㄧㄥ,tɕiŋ
qiong,ㄑㄩㄥ,tɕjʊŋ
qiu,ㄑㄧㄡ,tɕjoʊ
qu,ㄑㄩ,tɕy
quan,ㄑㄩㄢ,tɕɥœn
que,ㄑㄩㄝ,tɕɥœ
qun,ㄑㄩㄣ,tɕyn
r,ㄦ,ɻ
ran,ㄖㄢ,ʐan
rang,ㄖㄤ,ʐɑŋ
rao,ㄖㄠ,ʐɑʊ
re,ㄖㄜ,ʐɤ
ren,ㄖㄣ,ʐən
reng,ㄖㄥ,ʐɤŋ
ri,ㄖ,ʐɨ
rong,ㄖㄨㄥ,ʐʊŋ
rou,ㄖㄡ,ʐoʊ
ru,ㄖㄨ,ʐu
ruan,ㄖㄨㄢ,ʐwan
rui,ㄖㄨㄟ,ʐweɪ
run,ㄖㄨㄣ,ʐwən
ruo,ㄖㄨㄛ,ʐwɔ
sa,ㄙㄚ,sa
sai,ㄙㄞ,saɪ
san,ㄙㄢ,san
sang,ㄙㄤ,sɑŋ
sao,ㄙㄠ,sɑʊ
se,ㄙㄜ,sɤ
sei,ㄙㄟ,seɪ
sen,ㄙㄣ,sən
seng,ㄙㄥ,sɤŋ
sha,ㄕㄚ,ʂa
shai,ㄕㄞ,ʂai
shan,ㄕㄢ,ʂan
shang,ㄕㄤ,ʂɑŋ
shao,ㄕㄠ,ʂɑʊ
she,ㄕㄜ,ʂɤ
shei,ㄕㄟ,ʂeɪ
shen,ㄕㄣ,ʂən
sheng,ㄕㄥ,ʂɤŋ
shi,ㄕ,ʂɨ
shong,ㄕㄨㄥ,ʂʊŋ
shou,ㄕㄡ,ʂoʊ
shu,ㄕㄨ,ʂu
shua,ㄕㄨㄚ,ʂwa
shuai,ㄕㄨㄞ,ʂwaɪ
shuan,ㄕㄨㄢ,ʂwan
shuang,ㄕㄨㄤ,ʂwɑŋ
shui,ㄕㄨㄟ,ʂweɪ
shun,ㄕㄨㄣ,ʂwən
shuo,ㄕㄨㄛ,ʂwɔ
si,ㄙ,sɯ
song,ㄙㄨㄥ,sʊŋ
sou,ㄙㄡ,soʊ
su,ㄙㄨ,su
suan,ㄙㄨㄢ,swan
sui,ㄙㄨㄟ,sweɪ
sun,ㄙㄨㄣ,swən
suo,ㄙㄨㄛ,swɔ
ta,ㄊㄚ,ta
tai,ㄊㄞ,taɪ
tan,ㄊㄢ,tan
tang,ㄊㄤ,tɑŋ
tao,ㄊㄠ,tɑʊ
te,ㄊㄜ,tɤ
teng,ㄊㄥ,tɤŋ
ti,ㄊㄧ,ti
tian,ㄊㄧㄢ,tjɛn
tiao,ㄊㄧㄠ,tjɑʊ
tie,ㄊㄧㄝ,tjɛ
ting,ㄊㄧㄥ,tiŋ
tong,ㄊㄨㄥ,tʊŋ
tou,ㄊㄡ,toʊ
tu,ㄊㄨ,tu
tuan,ㄊㄨㄢ,twan
tui,ㄊㄨㄟ,tweɪ
tun,ㄊㄨㄣ,twən
tuo,ㄊㄨㄛ,twɔ
wa,ㄨㄚ,wa
wai,ㄨㄞ,waɪ
wan,ㄨㄢ,wan
wang,ㄨㄤ,wɑŋ
wei,ㄨㄟ,weɪ
wen,ㄨㄣ,wən
weng,ㄨㄥ,wɤŋ
wo,ㄨㄛ,wɔ
wu,ㄨ,u
xi,ㄒㄧ,ɕi
xia,ㄒㄧㄚ,ɕja
xian,ㄒㄧㄢ,ɕjɛn
xiang,ㄒㄧㄤ,ɕjɑŋ
xiao,ㄒㄧㄠ,ɕjɑʊ
xie,ㄒㄧㄝ,ɕjɛ
xin,ㄒㄧㄣ,ɕin
xing,ㄒㄧㄥ,ɕiŋ
xiong,ㄒㄩㄥ,ɕjʊŋ
xiu,ㄒㄧㄡ,ɕjoʊ
xu,ㄒㄩ,ɕy
xuan,ㄒㄩㄢ,ɕɥœn
xue,ㄒㄩㄝ,ɕɥœ
xun,ㄒㄩㄣ,ɕyn
ya,ㄧㄚ,ja
yan,ㄧㄢ,jɛn
yang,ㄧㄤ,jɑŋ
yao,ㄧㄠ,jɑʊ
ye,ㄧㄝ,jɛ
yi,ㄧ,i
yin,ㄧㄣ,in
ying,ㄧㄥ,iŋ
yong,ㄩㄥ,yʊŋ
you,ㄧㄡ,yoʊ
yu,ㄩ,y
yuan,ㄩㄢ,ɥœn
yue,ㄩㄝ,ɥœ
yun,ㄩㄣ,yn
za,ㄗㄚ,tsa
zai,ㄗㄞ,tsaɪ
zan,ㄗㄢ,tsan
zang,ㄗㄤ,tsɑŋ
zao,ㄗㄠ,tsɑʊ
ze,ㄗㄜ,tsɤ
zei,ㄗㄟ,tseɪ
zen,ㄗㄣ,tsən
zeng,ㄗㄥ,tsɤŋ
zha,ㄓㄚ,ʈʂa
zhai,ㄓㄞ,ʈʂaɪ
zhan,ㄓㄢ,ʈʂan
zhang,ㄓㄤ,ʈʂɑŋ
zhao,ㄓㄠ,ʈʂɑʊ
zhe,ㄓㄜ,ʈʂɤ
zhei,ㄓㄟ,ʈʂeɪ
zhen,ㄓㄣ,ʈʂən
zheng,ㄓㄥ,ʈʂɤŋ
zhi,ㄓ,ʈʂɨ
zhong,ㄓㄨㄥ,ʈʂʊŋ
zhou,ㄓㄡ,ʈʂoʊ
zhu,ㄓㄨ,ʈʂu
zhua,ㄓㄨㄚ,ʈʂwa
zhuai,ㄓㄨㄞ,ʈʂwaɪ
zhuan,ㄓㄨㄢ,ʈʂwan
zhuang,ㄓㄨㄤ,ʈʂwɑŋ
zhui,ㄓㄨㄟ,ʈʂweɪ
zhun,ㄓㄨㄣ,ʈʂwən
zhuo,ㄓㄨㄛ,ʈʂwɔ
zi,ㄗ,tsɯ
zong,ㄗㄨㄥ,tsʊŋ
zou,ㄗㄡ,tsoʊ
zu,ㄗㄨ,tsu
zuan,ㄗㄨㄢ,tswan
zui,ㄗㄨㄟ,tsweɪ
zun,ㄗㄨㄣ,tswən
zuo,ㄗㄨㄛ,tswɔ
